Index,Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Time Took For Restoration (hrs),Demand Loss (MW),Number of Customers Affected,State,County,NERC_Region,Event_Type,Alert_Criteria
1,January,2022-01-01,12:36:00,01/01/2022,14:12:00,1.5999999999999996,0,0,Washington,Thurston County,WECC,System Operations,"Damage or destruction of a Facility within its Reliability Coordinator Area, Balancing Authority Area or Transmission Operator Area that results in action(s) to avoid a Bulk Electric System Emergency."
2,January,2022-01-01,12:36:00,01/02/2022,19:43:00,7.116666666666665,0,0,Washington,Thurston County,WECC,System Operations,"Damage or destruction of a Facility within its Reliability Coordinator Area, Balancing Authority Area or Transmission Operator Area that results in action(s) to avoid a Bulk Electric System Emergency."
3,January,2022-01-01,01:01:00,,,,0,0,Georgia,Clayton County,SERC,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.
4,January,2022-01-01,00:06:00,01/01/2022,05:51:00,5.75,2,845,New Hampshire,Merrimack County,NPCC,Suspicious Activity,Damage or destruction of its Facility that results from actual or suspected intentional human action.
5,January,2022-01-02,13:21:00,01/02/2022,17:38:00,4.283333333333331,3,1706,California,Tuolumne County,WECC,Severe Weather,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.
6,January,2022-01-03,12:45:00,01/03/2022,12:46:00,0.016666666666666607,0,0,Washington,Thurston County,WECC,Vandalism,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.
7,January,2022-01-03,05:00:00,01/04/2022,18:00:00,13.0,,60424,South Carolina,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
8,January,2022-01-03,05:30:00,01/04/2022,12:30:00,7.000000000000002,,142000,North Carolina,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
8,January,2022-01-03,05:30:00,01/04/2022,12:30:00,7.000000000000002,,142000,South Carolina,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
9,January,2022-01-03,01:00:00,01/03/2022,14:00:00,13.000000000000002,283,40885,Georgia,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
9,January,2022-01-03,01:00:00,01/03/2022,14:00:00,13.000000000000002,283,40885,Alabama,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
9,January,2022-01-03,01:00:00,01/03/2022,14:00:00,13.000000000000002,283,40885,Mississippi,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
10,January,2022-01-05,12:32:00,01/05/2022,12:45:00,0.2166666666666659,0,0,Massachusetts,Plymouth County,NPCC,System Operations,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
11,January,2022-01-08,02:20:00,01/12/2022,07:40:00,5.333333333333334,0,0,Florida,Citrus County,SERC,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.
12,January,2022-01-08,18:07:00,01/08/2022,22:26:00,4.316666666666667,0,0,New Hampshire,Merrimack County,NPCC,Suspicious Activity,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.
13,January,2022-01-08,02:56:00,01/08/2022,03:03:00,0.11666666666666625,0,0,Texas,Cameron County,TRE,System Operations,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
13,January,2022-01-08,02:56:00,01/08/2022,03:03:00,0.11666666666666625,0,0,Texas,Willacy County,TRE,System Operations,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
14,January,2022-01-09,18:08:00,,,,,,Mississippi,Adams County,SERC,System Operations,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
15,January,2022-01-12,09:20:00,01/12/2022,10:25:00,1.0833333333333321,,,Indiana,,SERC,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
15,January,2022-01-12,09:20:00,01/12/2022,10:25:00,1.0833333333333321,,,Indiana,,RF,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
15,January,2022-01-12,09:20:00,01/12/2022,10:25:00,1.0833333333333321,,,Kentucky,,SERC,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
15,January,2022-01-12,09:20:00,01/12/2022,10:25:00,1.0833333333333321,,,Kentucky,,RF,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
15,January,2022-01-12,09:20:00,01/12/2022,10:25:00,1.0833333333333321,,,Ohio,,SERC,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
15,January,2022-01-12,09:20:00,01/12/2022,10:25:00,1.0833333333333321,,,Ohio,,RF,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
16,January,2022-01-13,16:00:00,01/13/2022,16:01:00,0.016666666666666607,0,0,Massachusetts,Hampden County,NPCC,Suspicious Activity,"Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center."
17,January,2022-01-14,13:50:00,01/14/2022,14:13:00,0.38333333333333197,0,0,Pennsylvania,Bucks County,NPCC,Suspicious Activity,Damage or destruction of its Facility that results from actual or suspected intentional human action.
18,January,2022-01-14,08:34:00,01/14/2022,08:42:00,0.13333333333333286,0,0,Texas,Potter County,TRE,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
18,January,2022-01-14,08:34:00,01/14/2022,08:42:00,0.13333333333333286,0,0,Texas,Potter County,WECC,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
18,January,2022-01-14,08:34:00,01/14/2022,08:42:00,0.13333333333333286,0,0,New Mexico,,TRE,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
18,January,2022-01-14,08:34:00,01/14/2022,08:42:00,0.13333333333333286,0,0,New Mexico,,WECC,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
19,January,2022-01-15,14:09:00,01/15/2022,14:28:00,0.31666666666666554,0,0,New York,Orange County,NPCC,Suspicious Activity,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
20,January,2022-01-16,12:05:00,01/17/2022,08:45:00,20.666666666666664,,51289,North Carolina,Jackson County,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
20,January,2022-01-16,12:05:00,01/17/2022,08:45:00,20.666666666666664,,51289,South Carolina,Greenville County,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
21,January,2022-01-16,13:15:00,01/16/2022,17:15:00,3.999999999999999,,74638,North Carolina,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
21,January,2022-01-16,13:15:00,01/16/2022,17:15:00,3.999999999999999,,74638,South Carolina,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
22,January,2022-01-16,05:15:00,01/17/2022,00:06:00,18.85,436,61113,Georgia,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
22,January,2022-01-16,05:15:00,01/17/2022,00:06:00,18.85,436,61113,Alabama,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
23,January,2022-01-18,22:22:00,01/18/2022,22:23:00,0.016666666666666607,0,0,Texas,Harris County,TRE,Cyber Event,Cyber Security Incident that was an attempt to compromise a High or Medium Impact Bulk Electric System Cyber System or their associated Electronic Access Control or Monitoring Systems
24,January,2022-01-19,14:35:00,01/19/2022,16:02:00,1.4500000000000002,0,0,Maine,,NPCC,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
25,January,2022-01-20,19:57:00,01/21/2022,05:30:00,9.550000000000004,0,0,Mississippi,,TRE,Severe Weather,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
25,January,2022-01-20,19:57:00,01/21/2022,05:30:00,9.550000000000004,0,0,Mississippi,,SERC,Severe Weather,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
25,January,2022-01-20,19:57:00,01/21/2022,05:30:00,9.550000000000004,0,0,Arkansas,,TRE,Severe Weather,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
25,January,2022-01-20,19:57:00,01/21/2022,05:30:00,9.550000000000004,0,0,Arkansas,,SERC,Severe Weather,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
25,January,2022-01-20,19:57:00,01/21/2022,05:30:00,9.550000000000004,0,0,Louisiana,,TRE,Severe Weather,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
25,January,2022-01-20,19:57:00,01/21/2022,05:30:00,9.550000000000004,0,0,Louisiana,,SERC,Severe Weather,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
25,January,2022-01-20,19:57:00,01/21/2022,05:30:00,9.550000000000004,0,0,Texas,,TRE,Severe Weather,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
25,January,2022-01-20,19:57:00,01/21/2022,05:30:00,9.550000000000004,0,0,Texas,,SERC,Severe Weather,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
26,January,2022-01-20,09:00:00,01/20/2022,09:59:00,0.9833333333333325,0,0,Maine,,NPCC,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
27,January,2022-01-23,00:37:00,01/23/2022,00:42:00,0.0833333333333332,0,0,Pennsylvania,Westmoreland County,RF,Suspicious Activity,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
28,January,2022-01-24,10:27:00,01/24/2022,10:51:00,0.40000000000000124,0,0,Washington,Chelan County,WECC,System Operations,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
29,January,2022-01-24,11:50:00,01/24/2022,16:00:00,4.166666666666665,0,0,New York,Dutchess County,NPCC,Sabotage,Damage or destruction of its Facility that results from actual or suspected intentional human action.
29,January,2022-01-24,11:50:00,01/24/2022,16:00:00,4.166666666666665,0,0,New York,Greene County,NPCC,Sabotage,Damage or destruction of its Facility that results from actual or suspected intentional human action.
30,January,2022-01-26,13:37:00,01/26/2022,14:15:00,0.6333333333333337,0,0,Florida,Leon County,SERC,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
31,January,2022-01-27,11:30:00,01/27/2022,11:31:00,0.016666666666666607,0,0,Nevada,Clark County,WECC,Vandalism,"Damage or destruction of a Facility within its Reliability Coordinator Area, Balancing Authority Area or Transmission Operator Area that results in action(s) to avoid a Bulk Electric System Emergency."
32,January,2022-01-28,15:41:00,01/28/2022,21:30:00,5.816666666666667,0,0,Colorado,Douglas County,WECC,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
32,January,2022-01-28,15:41:00,01/28/2022,21:30:00,5.816666666666667,0,0,Colorado,Pueblo County,WECC,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
32,January,2022-01-28,15:41:00,01/28/2022,21:30:00,5.816666666666667,0,0,Colorado,El Paso County,WECC,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
32,January,2022-01-28,15:41:00,01/28/2022,21:30:00,5.816666666666667,0,0,Colorado,Prowers County,WECC,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
33,January,2022-01-29,08:45:00,01/30/2022,01:00:00,16.250000000000004,120,12000,Connecticut,,NPCC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
33,January,2022-01-29,08:45:00,01/30/2022,01:00:00,16.250000000000004,120,12000,Massachusetts,,NPCC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
33,January,2022-01-29,08:45:00,01/30/2022,01:00:00,16.250000000000004,120,12000,New Hampshire,,NPCC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
33,January,2022-01-29,08:45:00,01/30/2022,01:00:00,16.250000000000004,120,12000,Rhode Island,,NPCC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
33,January,2022-01-29,08:45:00,01/30/2022,01:00:00,16.250000000000004,120,12000,Vermont,,NPCC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
33,January,2022-01-29,08:45:00,01/30/2022,01:00:00,16.250000000000004,120,12000,Maine,,NPCC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
34,January,2022-01-30,20:41:00,01/31/2022,00:42:00,4.016666666666663,0,0,Nebraska,,MRO,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
35,January,2022-01-31,19:58:00,01/31/2022,20:10:00,0.20000000000000195,0,0,West Virginia,Monongalia County,RF,Suspicious Activity,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
36,February,2022-02-01,12:13:00,02/01/2022,12:25:00,0.1999999999999993,10,8124,California,Yuba County,WECC,System Operations,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.
37,February,2022-02-03,10:00:00,02/07/2022,20:00:00,10.0,,255000,Tennessee,Shelby County,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
37,February,2022-02-03,10:00:00,02/07/2022,20:00:00,10.0,,255000,Tennessee,Shelby County,SERC,Transmission Interruption,"Loss of electric service to more than 50,000 customers for 1 hour or more."
38,February,2022-02-03,12:56:00,02/04/2022,20:30:00,7.566666666666666,,51000,Ohio,,RF,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
38,February,2022-02-03,12:56:00,02/04/2022,20:30:00,7.566666666666666,,51000,Ohio,,RF,Transmission Interruption,"Loss of electric service to more than 50,000 customers for 1 hour or more."
39,February,2022-02-03,12:56:00,,,,,51000,Ohio,,RF,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
39,February,2022-02-03,12:56:00,,,,,51000,Ohio,,RF,Transmission Interruption,"Loss of electric service to more than 50,000 customers for 1 hour or more."
40,February,2022-02-04,18:21:00,02/04/2022,22:00:00,3.6499999999999977,,,Texas,,TRE,Transmission Interruption,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.
41,February,2022-02-04,13:10:00,,,,,67404,New York,Ulster County,NPCC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
41,February,2022-02-04,13:10:00,,,,,67404,New York,Ulster County,NPCC,Transmission Interruption,"Loss of electric service to more than 50,000 customers for 1 hour or more."
42,February,2022-02-09,07:00:00,02/09/2022,09:00:00,1.9999999999999996,0,0,New York,Orange County,NPCC,Vandalism,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.
43,February,2022-02-12,16:29:00,02/12/2022,16:30:00,0.016666666666666607,,,California,Alameda County,WECC,Vandalism,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.
44,February,2022-02-17,10:30:00,02/17/2022,10:31:00,0.01666666666666794,0,0,Rhode Island,Providence County,NPCC,Suspicious Activity,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
45,February,2022-02-17,00:09:00,02/17/2022,07:36:00,7.45,80,0,Louisiana,Lafayette Parish,SERC,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
46,February,2022-02-18,07:10:00,02/18/2022,16:25:00,9.25,7,7047,Connecticut,,NPCC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
46,February,2022-02-18,07:10:00,02/18/2022,16:25:00,9.25,7,7047,Maine,,NPCC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
46,February,2022-02-18,07:10:00,02/18/2022,16:25:00,9.25,7,7047,Massachusetts,,NPCC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
46,February,2022-02-18,07:10:00,02/18/2022,16:25:00,9.25,7,7047,New Hampshire,,NPCC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
46,February,2022-02-18,07:10:00,02/18/2022,16:25:00,9.25,7,7047,Vermont,,NPCC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
46,February,2022-02-18,07:10:00,02/18/2022,16:25:00,9.25,7,7047,Rhode Island,,NPCC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
47,February,2022-02-22,11:10:00,02/22/2022,12:15:00,1.0833333333333335,0,0,Texas,Llano County,TRE,Suspicious Activity,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
48,February,2022-02-24,10:25:00,02/24/2022,10:31:00,0.10000000000000231,3,1405,Texas,Montgomery County,TRE,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
49,February,2022-02-24,01:09:00,02/24/2022,02:59:00,1.8333333333333335,246,0,California,San Bernardino County,WECC,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
49,February,2022-02-24,01:09:00,02/24/2022,02:59:00,1.8333333333333335,246,0,California,Kern County,WECC,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
49,February,2022-02-24,01:09:00,02/24/2022,02:59:00,1.8333333333333335,246,0,California,Solano County,WECC,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
49,February,2022-02-24,01:09:00,02/24/2022,02:59:00,1.8333333333333335,246,0,California,San Diego County,WECC,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
50,February,2022-02-25,09:31:00,02/25/2022,13:09:00,3.6333333333333337,0,0,Texas,Travis County,TRE,System Operations,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.
50,February,2022-02-25,09:31:00,02/25/2022,13:09:00,3.6333333333333337,0,0,California,San Diego County,TRE,System Operations,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.
51,February,2022-02-26,11:15:00,02/26/2022,17:00:00,5.750000000000001,0,0,Washington,Grant County,WECC,Actual Physical Attack,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
52,February,2022-02-28,09:25:00,02/28/2022,09:26:00,0.016666666666666607,0,0,Texas,Mitchell County,TRE,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.
53,March,2022-03-01,13:43:00,03/01/2022,13:47:00,0.06666666666666643,0,0,Indiana,Marion County,RF,System Operations,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
53,March,2022-03-01,13:43:00,03/01/2022,13:47:00,0.06666666666666643,0,0,Indiana,Shelby County,RF,System Operations,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
53,March,2022-03-01,13:43:00,03/01/2022,13:47:00,0.06666666666666643,0,0,Indiana,Hendricks County,RF,System Operations,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
54,March,2022-03-02,09:26:00,03/02/2022,10:05:00,0.6500000000000004,0,0,North Carolina,,SERC,System Operations,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.
54,March,2022-03-02,09:26:00,03/02/2022,10:05:00,0.6500000000000004,0,0,South Carolina,,SERC,System Operations,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.
55,March,2022-03-05,22:58:00,03/06/2022,19:38:00,20.666666666666668,0,0,Illinois,DuPage County,SERC,System Operations,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
55,March,2022-03-05,22:58:00,03/06/2022,19:38:00,20.666666666666668,0,0,Illinois,DuPage County,RF,System Operations,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
56,March,2022-03-06,02:30:00,03/06/2022,17:00:00,14.500000000000002,0,0,Texas,Cameron County,TRE,Cyber Event,Cyber event that could potentially impact electric power system adequacy or reliability.
57,March,2022-03-08,13:50:00,03/08/2022,14:39:00,0.8166666666666664,48,5855,Georgia,Terrell County,TRE,System Operations,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
58,March,2022-03-10,08:51:00,03/10/2022,15:15:00,6.4,0,0,Nebraska,Scotts Bluff County,MRO,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
59,March,2022-03-11,06:35:00,03/11/2022,07:00:00,0.41666666666666785,0,0,Texas,Cameron County,TRE,Suspicious Activity,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
60,March,2022-03-12,08:33:00,,,,139,19380,Alabama,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
60,March,2022-03-12,08:33:00,,,,139,19380,Georgia,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
60,March,2022-03-12,08:33:00,,,,139,19380,Mississippi,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
60,March,2022-03-12,08:33:00,,,,139,19380,Florida,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
61,March,2022-03-13,22:15:00,03/13/2022,22:38:00,0.38333333333333197,0,0,Minnesota,Hennepin County,MRO,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.
62,March,2022-03-14,09:30:00,03/14/2022,10:45:00,1.2500000000000009,0,0,Texas,Cameron County,TRE,Vandalism,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
63,March,2022-03-14,15:45:00,,,,,,New Jersey,,RF,Suspicious Activity,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
64,March,2022-03-15,18:53:00,03/15/2022,20:33:00,1.6666666666666687,10,3958,California,Lake County,WECC,Vandalism,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
65,March,2022-03-15,11:11:00,03/15/2022,11:47:00,0.5999999999999992,0,0,Maine,,NPCC,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
66,March,2022-03-16,11:28:00,03/16/2022,11:29:00,0.016666666666665275,0,0,California,Sacramento County,WECC,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.
67,March,2022-03-17,12:59:00,,16:38:00,3.6500000000000004,0,0,North Carolina,Durham County,SERC,Actual Physical Attack,Damage or destruction of its Facility that results from actual or suspected intentional human action.
67,March,2022-03-17,12:59:00,,16:38:00,3.6500000000000004,0,0,North Carolina,Durham County,SERC,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.
68,March,2022-03-18,16:32:00,,,,78,20423,Florida,Palm Beach County,SERC,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
69,March,2022-03-20,17:52:00,03/20/2022,22:20:00,4.466666666666664,0,0,Minnesota,St. Louis County,MRO,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
70,March,2022-03-21,19:00:00,03/24/2022,00:00:00,5.000000000000001,,170000,Texas,Anderson County,TRE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
70,March,2022-03-21,19:00:00,03/24/2022,00:00:00,5.000000000000001,,170000,Texas,Bell County,TRE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
70,March,2022-03-21,19:00:00,03/24/2022,00:00:00,5.000000000000001,,170000,Texas,Bosque County,TRE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
70,March,2022-03-21,19:00:00,03/24/2022,00:00:00,5.000000000000001,,170000,Texas,Comanche County,TRE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
70,March,2022-03-21,19:00:00,03/24/2022,00:00:00,5.000000000000001,,170000,Texas,Coryell County,TRE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
70,March,2022-03-21,19:00:00,03/24/2022,00:00:00,5.000000000000001,,170000,Texas,Falls County,TRE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
70,March,2022-03-21,19:00:00,03/24/2022,00:00:00,5.000000000000001,,170000,Texas,Freestone County,TRE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
70,March,2022-03-21,19:00:00,03/24/2022,00:00:00,5.000000000000001,,170000,Texas,Hamilton County,TRE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
70,March,2022-03-21,19:00:00,03/24/2022,00:00:00,5.000000000000001,,170000,Texas,Henderson County,TRE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
70,March,2022-03-21,19:00:00,03/24/2022,00:00:00,5.000000000000001,,170000,Texas,Hill County,TRE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
70,March,2022-03-21,19:00:00,03/24/2022,00:00:00,5.000000000000001,,170000,Texas,Lampasas County,TRE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
70,March,2022-03-21,19:00:00,03/24/2022,00:00:00,5.000000000000001,,170000,Texas,Leon County,TRE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
70,March,2022-03-21,19:00:00,03/24/2022,00:00:00,5.000000000000001,,170000,Texas,Limestone County,TRE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
70,March,2022-03-21,19:00:00,03/24/2022,00:00:00,5.000000000000001,,170000,Texas,McLennan County,TRE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
70,March,2022-03-21,19:00:00,03/24/2022,00:00:00,5.000000000000001,,170000,Texas,Milam County,TRE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
